start_ts,end_ts,duration,program
1383336000,1383336293,293,Google Chrome
1383339262,1383339810,548,Google Chrome
1383342334,1383342515,181,Google Chrome
1383346112,1383346531,419,Google Chrome
1383348060,1383349922,1862,Google Chrome
1383376257,1383376395,138,Google Chrome
1383380940,1383381365,425,Google Chrome
1383384296,1383384381,85,Google Chrome
1383387189,1383392709,5520,Google Chrome
1383395426,1383395503,77,Google Chrome
1383396975,1383397425,450,Google Chrome
1383398537,1383401493,2956,Google Chrome
1383403382,1383403630,248,Google Chrome
1383406659,1383406932,273,Google Chrome
1383410678,1383411032,354,Google Chrome
1383413950,1383414426,476,Google Chrome
1383419862,1383422617,2755,Google Chrome
1383423782,1383424035,253,Google Chrome
1383425182,1383425479,297,Google Chrome
1383427461,1383428098,637,Google Chrome
1383429267,1383429811,544,Google Chrome
1383430835,1383431060,225,Google Chrome
1383432986,1383433591,605,Google Chrome
1383469308,1383472377,3069,Google Chrome
1383474359,1383478736,4377,Google Chrome
1383483499,1383483824,325,Google Chrome
1383487155,1383487401,246,Google Chrome
1383491794,1383492256,462,Google Chrome
1383497516,1383497810,294,Google Chrome
1383499596,1383500059,463,Google Chrome
1383503065,1383503519,454,Google Chrome
1383504759,1383504991,232,Google Chrome
1383507441,1383507803,362,Google Chrome
1383513920,1383514321,401,Google Chrome
1383515880,1383516320,440,Google Chrome
1383544857,1383545006,149,Google Chrome
1383578982,1383579775,793,Google Chrome
1383581150,1383587330,6180,Google Chrome
1383590160,1383590375,215,Google Chrome
1383592884,1383593435,551,Google Chrome
1383597000,1383597085,85,Google Chrome
1383601277,1383603027,1750,Google Chrome
1383609480,1383609555,75,Google Chrome
1383616014,1383616090,76,Google Chrome
1383622548,1383622623,75,Google Chrome
1383629080,1383629157,77,Google Chrome
1383631724,1383633135,1411,Google Chrome
1383671658,1383675061,3403,Google Chrome
1383679306,1383679499,193,Google Chrome
1383681716,1383687762,6046,Google Chrome
1383721271,1383721367,96,Google Chrome
1383725598,1383727094,1496,Google Chrome
1383751786,1383752300,514,Google Chrome
